retailer,total_listings,shell_egg_listings,organic,free_range,barn,caged,unknown,cage_free_listings,cage_free_share_strict_pct,cage_free_share_anchor_pct,median_price_per_egg,note
Rimi,17,15,1,4,9,1,0,14,93,93,0.305,
Barbora,13,10,2,1,7,0,0,10,100,100,0.2715,
top!,0,0,0,0,0,0,0,0,,,,"top! (etop.lv) is TOP's own-brand (TIP TOP) showcase, not a full online grocery: the eggs section has only one own-brand product (TIP TOP barn eggs, EU code 2, about 0.30 EUR/egg), so it is not comparable to a full assortment and is excluded."
Lidl,1,1,0,0,1,0,0,1,100,100,0.179,
Mego,0,0,0,0,0,0,0,0,,,,Mego (mego.lv) has no online store (informational site only); no egg catalogue.
Elvi,0,0,0,0,0,0,0,0,,,,Elvi (elvi.lv) eggs page lists no shoppable products (WordPress promo/catalogue site); no listing-level data.
